iter	Passed	Remaining
1052	15563	102675
1053	15582	102691
1054	15601	102703
1055	15619	102712
1056	15639	102727
1057	15658	102739
1058	15676	102750
1059	15695	102761
1060	15713	102765
1061	15731	102774
1062	15748	102774
1063	15767	102783
1064	15785	102790
1065	15802	102793
1066	15822	102806
1067	15840	102816
1068	15859	102828
1069	15878	102836
1070	15896	102843
1071	15914	102851
1072	15933	102860
1073	15951	102870
1074	15970	102878
1075	15988	102887
1076	16007	102895
1077	16025	102901
1078	16044	102913
1079	16062	102919
1080	16082	102935
1081	16100	102943
1082	16119	102955
1083	16138	102963
1084	16156	102969
1085	16174	102975
1086	16193	102984
1087	16212	102994
1088	16229	102998
1089	16248	103005
1090	16266	103013
1091	16285	103023
1092	16305	103037
1093	16323	103043
1094	16341	103050
1095	16360	103056
1096	16378	103063
1097	16397	103073
1098	16416	103082
1099	16434	103088
1100	16453	103099
1101	16472	103108
1102	16490	103116
1103	16509	103125
1104	16527	103128
1105	16545	103134
1106	16564	103141
1107	16583	103150
1108	16601	103155
1109	16619	103163
1110	16637	103166
1111	16656	103173
1112	16674	103180
1113	16693	103185
1114	16711	103192
1115	16729	103194
1116	16747	103200
1117	16765	103203
1118	16784	103212
1119	16803	103220
1120	16822	103228
1121	16840	103233
1122	16859	103241
1123	16876	103238
1124	16894	103242
1125	16912	103246
1126	16931	103254
1127	16950	103265
1128	16969	103272
1129	16987	103277
1130	17005	103283
1131	17024	103291
1132	17043	103296
1133	17061	103301
1134	17079	103303
1135	17097	103307
1136	17115	103312
1137	17134	103317
1138	17153	103324
1139	17172	103333
1140	17190	103337
1141	17208	103342
1142	17226	103346
1143	17245	103352
1144	17264	103360
1145	17283	103367
1146	17302	103376
1147	17320	103379
1148	17339	103386
1149	17357	103389
1150	17376	103398
1151	17395	103407
1152	17414	103411
1153	17432	103417
1154	17450	103418
1155	17468	103423
1156	17487	103429
1157	17505	103432
1158	17525	103443
1159	17544	103451
1160	17562	103455
1161	17581	103459
1162	17599	103463
1163	17618	103471
1164	17637	103481
1165	17657	103489
1166	17674	103486
1167	17692	103491
1168	17711	103496
1169	17730	103501
1170	17748	103503
1171	17765	103498
1172	17782	103496
1173	17801	103505
1174	17820	103509
1175	17838	103513
1176	17857	103517
1177	17875	103521
1178	17894	103526
1179	17912	103529
1180	17929	103524
1181	17948	103532
1182	17967	103536
1183	17986	103542
1184	18004	103545
1185	18023	103551
1186	18042	103556
1187	18060	103560
1188	18079	103562
1189	18096	103563
1190	18115	103568
1191	18133	103568
1192	18151	103571
1193	18170	103575
1194	18189	103580
1195	18207	103582
1196	18226	103588
1197	18245	103591
1198	18263	103596
1199	18282	103599
1200	18301	103605
1201	18319	103608
1202	18338	103611
1203	18356	103616
1204	18375	103618
1205	18394	103622
1206	18411	103621
1207	18429	103621
1208	18448	103624
1209	18467	103631
1210	18485	103634
1211	18505	103640
1212	18523	103643
1213	18542	103647
1214	18560	103650
1215	18579	103655
1216	18598	103657
1217	18617	103662
1218	18635	103664
1219	18654	103669
1220	18672	103671
1221	18690	103667
1222	18708	103670
1223	18727	103673
1224	18745	103675
1225	18764	103677
1226	18782	103679
1227	18800	103680
1228	18818	103680
1229	18837	103681
1230	18856	103685
1231	18874	103686
1232	18892	103689
1233	18911	103691
1234	18930	103695
1235	18948	103697
1236	18966	103696
1237	18985	103697
1238	19003	103697
1239	19022	103701
1240	19040	103701
1241	19057	103695
1242	19076	103698
1243	19094	103702
1244	19113	103705
1245	19132	103707
1246	19150	103708
1247	19169	103710
1248	19188	103713
1249	19206	103717
1250	19225	103718
1251	19243	103717
1252	19261	103718
1253	19280	103723
1254	19299	103726
1255	19317	103725
1256	19335	103719
1257	19353	103721
1258	19372	103725
1259	19390	103725
1260	19409	103726
1261	19427	103726
1262	19446	103731
1263	19464	103730
1264	19483	103734
1265	19502	103735
1266	19520	103735
1267	19539	103735
1268	19557	103737
1269	19574	103730
1270	19592	103730
1271	19611	103733
1272	19630	103732
1273	19648	103733
1274	19667	103734
1275	19685	103733
1276	19703	103734
1277	19721	103733
1278	19740	103731
1279	19758	103731
1280	19776	103731
1281	19795	103731
1282	19813	103733
1283	19831	103731
1284	19850	103730
1285	19869	103732
1286	19887	103732
1287	19906	103734
1288	19924	103733
1289	19941	103727
1290	19960	103730
1291	19979	103730
1292	19996	103724
1293	20014	103725
1294	20033	103723
1295	20051	103724
