Training X size: (10000, 300)
Trial 306: Permutated mmd = 0.0005950495049483494
Trial 307: Permutated mmd = 0.0005950495049509107
Trial 308: Permutated mmd = 0.0005950495049509313
Trial 309: Permutated mmd = 0.000595049504950909
Trial 310: Permutated mmd = 0.0005950495049483632
Trial 311: Permutated mmd = 0.0005950495049483449
Trial 312: Permutated mmd = 0.0005950495049509342
Trial 313: Permutated mmd = 0.0005950495049509344
Trial 314: Permutated mmd = 0.0005950495049509352
Trial 315: Permutated mmd = 0.0005950495049483443
Trial 316: Permutated mmd = 0.0005950495049509286
Trial 317: Permutated mmd = 0.0005950495049509051
Trial 318: Permutated mmd = 0.0005950495049509282
Trial 319: Permutated mmd = 0.0005950495049509349
Trial 320: Permutated mmd = 0.000595049504950926
Trial 321: Permutated mmd = 0.0005950495049510305
Trial 322: Permutated mmd = 0.0005950495049509359
Trial 323: Permutated mmd = 0.0005950495049483418
Trial 324: Permutated mmd = 0.0005950495049483149
Trial 325: Permutated mmd = 0.000595049504948319
Trial 326: Permutated mmd = 0.0005950495049483456
Trial 327: Permutated mmd = 0.000595049504950907
Trial 328: Permutated mmd = 0.0005950495049509349
Trial 329: Permutated mmd = 0.0005950495049509356
Trial 330: Permutated mmd = 0.0005950495049509124
Trial 331: Permutated mmd = 0.0005950495049509302
Trial 332: Permutated mmd = 0.0005950495049509095
Trial 333: Permutated mmd = 0.0005950495049509014
Trial 334: Permutated mmd = 0.0005950495049509077
Trial 335: Permutated mmd = 0.0005950495049510355
Trial 336: Permutated mmd = 0.0005950495049509469
Trial 337: Permutated mmd = 0.0005950495049509381
Trial 338: Permutated mmd = 0.0005950495049483434
Trial 339: Permutated mmd = 0.0005950495049483473
Trial 340: Permutated mmd = 0.0005950495049509558
Trial 341: Permutated mmd = 0.000595049504948441
Trial 342: Permutated mmd = 0.0005950495049509261
Trial 343: Permutated mmd = 0.0005950495049509345
Trial 344: Permutated mmd = 0.0005950495049509342
Trial 345: Permutated mmd = 0.0005950495049509362
Trial 346: Permutated mmd = 0.0005950495049509106
Trial 347: Permutated mmd = 0.000595049504950931
Trial 348: Permutated mmd = 0.0005950495049509295
Trial 349: Permutated mmd = 0.0005950495049484467
Trial 350: Permutated mmd = 0.0005950495049509326
Trial 351: Permutated mmd = 0.0005950495049483475
Trial 352: Permutated mmd = 0.0005950495049509106
Trial 353: Permutated mmd = 0.0005950495049483416
Trial 354: Permutated mmd = 0.000595049504950952
Trial 355: Permutated mmd = 0.0005950495049483194
Trial 356: Permutated mmd = 0.0005950495049509349
Trial 357: Permutated mmd = 0.0005950495049483207
Trial 358: Permutated mmd = 0.0005950495049483517
Trial 359: Permutated mmd = 0.0005950495049509338
Trial 360: Permutated mmd = 0.0005950495049483605
Trial 361: Permutated mmd = 0.0005950495049483431
Trial 362: Permutated mmd = 0.0005950495049509301
Trial 363: Permutated mmd = 0.0005950495049509352
Trial 364: Permutated mmd = 0.0005950495049509301
Trial 365: Permutated mmd = 0.000595049504950915
Trial 366: Permutated mmd = 0.0005950495049509043
Trial 367: Permutated mmd = 0.0005950495049509346
Trial 368: Permutated mmd = 0.0005950495049509089
Trial 369: Permutated mmd = 0.0005950495049509289
Trial 370: Permutated mmd = 0.0005950495049483177
Trial 371: Permutated mmd = 0.000595049504950906
Trial 372: Permutated mmd = 0.0005950495049509301
Trial 373: Permutated mmd = 0.0005950495049483501
Trial 374: Permutated mmd = 0.0005950495049509342
Trial 375: Permutated mmd = 0.0005950495049509306
Trial 376: Permutated mmd = 0.0005950495049509367
Trial 377: Permutated mmd = 0.0005950495049509346
Trial 378: Permutated mmd = 0.0005950495049483483
Trial 379: Permutated mmd = 0.0005950495049509106
Trial 380: Permutated mmd = 0.0005950495049509311
Trial 381: Permutated mmd = 0.0005950495049509353
Trial 382: Permutated mmd = 0.0005950495049509282
Trial 383: Permutated mmd = 0.000595049504950939
Trial 384: Permutated mmd = 0.0005950495049509336
Trial 385: Permutated mmd = 0.0005950495049509323
Trial 386: Permutated mmd = 0.0005950495049484607
Trial 387: Permutated mmd = 0.00059504950495093
Trial 388: Permutated mmd = 0.0005950495049509286
Trial 389: Permutated mmd = 0.0005950495049483202
Trial 390: Permutated mmd = 0.0005950495049509313
Trial 391: Permutated mmd = 0.000595049504961143
Trial 392: Permutated mmd = 0.0005950495049509304
Trial 393: Permutated mmd = 0.0005950495049483485
Trial 394: Permutated mmd = 0.0005950495049483505
Trial 395: Permutated mmd = 0.0005950495049509403
Trial 396: Permutated mmd = 0.0005950495049509339
Trial 397: Permutated mmd = 0.0005950495049509079
Trial 398: Permutated mmd = 0.00059504950494834
Trial 399: Permutated mmd = 0.00059504950495094
Trial 400: Permutated mmd = 0.0005950495049509319
Trial 401: Permutated mmd = 0.0005950495049509339
Trial 402: Permutated mmd = 0.000595049504948342
Trial 403: Permutated mmd = 0.0005950495049509358
Trial 404: Permutated mmd = 0.000595049504950928
Trial 405: Permutated mmd = 0.0005950495049509347
Trial 406: Permutated mmd = 0.000595049504950928
Trial 407: Permutated mmd = 0.0005950495049611228
Trial 408: Permutated mmd = 0.0005950495049509308
Trial 409: Permutated mmd = 0.0005950495049509366
Trial 410: Permutated mmd = 0.0005950495049509315
Trial 411: Permutated mmd = 0.0005950495049483433
Trial 412: Permutated mmd = 0.0005950495049509277
Trial 413: Permutated mmd = 0.0005950495049508981
Trial 414: Permutated mmd = 0.0005950495049509347
Trial 415: Permutated mmd = 0.0005950495049509337
Trial 416: Permutated mmd = 0.0005950495049509252
Trial 417: Permutated mmd = 0.0005950495049483393
Trial 418: Permutated mmd = 0.0005950495049509157
Trial 419: Permutated mmd = 0.0005950495049483399
Trial 420: Permutated mmd = 0.0005950495049509336
Trial 421: Permutated mmd = 0.0005950495049509289
Trial 422: Permutated mmd = 0.0005950495049509516
Trial 423: Permutated mmd = 0.0005950495049509354
Trial 424: Permutated mmd = 0.0005950495049509364
Trial 425: Permutated mmd = 0.0005950495049509101
Trial 426: Permutated mmd = 0.0005950495049483446
Trial 427: Permutated mmd = 0.0005950495049509295
Trial 428: Permutated mmd = 0.0005950495049509326
Trial 429: Permutated mmd = 0.0005950495049509328
